,primary_key,Customer_ID,Product_ID,Month,Customer_name,Product_family,Customer_Cohort_Year,Customer_Tenure,Dimension1,Dimension2,Dimension3,Value type,Value yearly,year
264,32,CUST-00019,PROD-0007,2024-02-01,,,2024,1,Canada,North America,Startup,BoP ARR,2905.8,2024
265,32,CUST-00019,PROD-0007,2024-03-01,,,2024,2,Canada,North America,Startup,BoP ARR,2539.19,2024
266,32,CUST-00019,PROD-0007,2024-04-01,,,2024,3,Canada,North America,Startup,BoP ARR,2959.29,2024
267,32,CUST-00019,PROD-0007,2024-05-01,,,2024,4,Canada,North America,Startup,BoP ARR,2970.04,2024
268,32,CUST-00019,PROD-0007,2024-06-01,,,2024,5,Canada,North America,Startup,BoP ARR,2596.14,2024
269,32,CUST-00019,PROD-0007,2024-07-01,,,2024,6,Canada,North America,Startup,BoP ARR,2775.67,2024
270,32,CUST-00019,PROD-0007,2024-08-01,,,2024,7,Canada,North America,Startup,BoP ARR,2635.19,2024
271,32,CUST-00019,PROD-0007,2024-09-01,,,2024,8,Canada,North America,Startup,BoP ARR,3075.95,2024
272,32,CUST-00019,PROD-0007,2024-10-01,,,2024,9,Canada,North America,Startup,BoP ARR,2827.97,2024
274,33,CUST-00020,PROD-0009,2024-02-01,,,2024,1,Germany,Europe,SMB,BoP ARR,12675.78,2024
275,33,CUST-00020,PROD-0009,2024-03-01,,,2024,2,Germany,Europe,SMB,BoP ARR,12355.76,2024
276,33,CUST-00020,PROD-0009,2024-04-01,,,2024,3,Germany,Europe,SMB,BoP ARR,13121.64,2024
277,33,CUST-00020,PROD-0009,2024-05-01,,,2024,4,Germany,Europe,SMB,BoP ARR,12183.31,2024
288,0,CUST-00001,PROD-0008,2024-11-01,,,2024,10,UK,Europe,Enterprise,Churn,-114144.0,2024
294,1,CUST-00002,PROD-0002,2024-06-01,,,2024,5,France,Europe,Mid-Market,Churn,-81760.47,2024
319,3,CUST-00003,PROD-0005,2025-11-01,,,2024,12,UK,Europe,Enterprise,Churn,-206079.07,2025
336,5,CUST-00004,PROD-0003,2024-12-01,,,2024,11,Japan,APAC,Enterprise,Churn,-134242.11,2024
341,6,CUST-00005,PROD-0002,2024-08-01,,,2024,4,UK,Europe,Mid-Market,Churn,-36958.95,2024
352,8,CUST-00006,PROD-0005,2024-07-01,,,2024,6,USA,North America,Mid-Market,Churn,-57443.08,2024
361,9,CUST-00007,PROD-0002,2024-09-01,,,2024,8,Japan,APAC,Mid-Market,Churn,-51602.96,2024
373,10,CUST-00008,PROD-0004,2024-12-01,,,2024,11,Canada,North America,Enterprise,Churn,-275501.89,2024
384,11,CUST-00009,PROD-0003,2024-11-01,,,2024,10,Japan,APAC,SMB,Churn,-13131.29,2024
403,13,CUST-00010,PROD-0003,2025-09-01,,,2024,11,Germany,Europe,Mid-Market,Churn,-24746.01,2025
426,15,CUST-00011,PROD-0001,2025-01-01,,,2024,12,UK,Europe,Enterprise,Churn,-510456.74,2025
445,18,CUST-00012,PROD-0001,2024-12-01,,,2024,8,UK,Europe,SMB,Churn,-5623.43,2024
449,19,CUST-00013,PROD-0007,2024-12-01,,,2024,3,Canada,North America,Enterprise,Churn,-393858.32,2024
453,20,CUST-00013,PROD-0009,2024-12-01,,,2024,3,Canada,North America,Enterprise,Churn,-93300.24,2024
460,21,CUST-00014,PROD-0006,2024-12-01,,,2024,6,UK,Europe,Startup,Churn,-7327.89,2024
467,22,CUST-00014,PROD-0001,2024-12-01,,,2024,6,UK,Europe,Startup,Churn,-8421.3,2024
476,23,CUST-00015,PROD-0005,2024-11-01,,,2024,8,Canada,North America,SMB,Churn,-7956.84,2024
501,26,CUST-00016,PROD-0007,2025-01-01,,,2024,12,France,Europe,Enterprise,Churn,-256330.06,2025
520,29,CUST-00017,PROD-0009,2025-08-01,,,2024,9,France,Europe,SMB,Churn,-8662.55,2025
533,30,CUST-00018,PROD-0010,2025-08-01,,,2024,12,France,Europe,Enterprise,Churn,-206046.99,2025
550,32,CUST-00019,PROD-0007,2024-10-01,,,2024,9,Canada,North America,Startup,Churn,-2827.97,2024
555,33,CUST-00020,PROD-0009,2024-05-01,,,2024,4,Germany,Europe,SMB,Churn,-12183.31,2024
558,0,CUST-00001,PROD-0008,2024-03-01,,,2024,2,UK,Europe,Enterprise,Downsell,-4709.100000000006,2024
560,0,CUST-00001,PROD-0008,2024-05-01,,,2024,4,UK,Europe,Enterprise,Downsell,-7282.25,2024
562,0,CUST-00001,PROD-0008,2024-07-01,,,2024,6,UK,Europe,Enterprise,Downsell,-5063.979999999996,2024
564,0,CUST-00001,PROD-0008,2024-09-01,,,2024,8,UK,Europe,Enterprise,Downsell,-19635.270000000004,2024
568,1,CUST-00002,PROD-0002,2024-02-01,,,2024,1,France,Europe,Mid-Market,Downsell,-5830.430000000008,2024
571,1,CUST-00002,PROD-0002,2024-05-01,,,2024,4,France,Europe,Mid-Market,Downsell,-7592.330000000002,2024
574,2,CUST-00003,PROD-0002,2024-12-01,,,2024,1,UK,Europe,Enterprise,Downsell,-31530.5,2024
577,2,CUST-00003,PROD-0002,2025-03-01,,,2024,4,UK,Europe,Enterprise,Downsell,-26245.090000000026,2025
578,2,CUST-00003,PROD-0002,2025-04-01,,,2024,5,UK,Europe,Enterprise,Downsell,-24260.659999999974,2025
580,2,CUST-00003,PROD-0002,2025-06-01,,,2024,7,UK,Europe,Enterprise,Downsell,-16686.910000000033,2025
582,2,CUST-00003,PROD-0002,2025-08-01,,,2024,9,UK,Europe,Enterprise,Downsell,-2441.0400000000373,2025
583,2,CUST-00003,PROD-0002,2025-09-01,,,2024,10,UK,Europe,Enterprise,Downsell,-309.63999999995576,2025
587,3,CUST-00003,PROD-0005,2025-01-01,,,2024,2,UK,Europe,Enterprise,Downsell,-1973.4599999999919,2025
588,3,CUST-00003,PROD-0005,2025-02-01,,,2024,3,UK,Europe,Enterprise,Downsell,-1843.3800000000047,2025
589,3,CUST-00003,PROD-0005,2025-03-01,,,2024,4,UK,Europe,Enterprise,Downsell,-20533.130000000005,2025
590,3,CUST-00003,PROD-0005,2025-04-01,,,2024,5,UK,Europe,Enterprise,Downsell,-9777.410000000003,2025
593,3,CUST-00003,PROD-0005,2025-07-01,,,2024,8,UK,Europe,Enterprise,Downsell,-33740.44,2025
595,3,CUST-00003,PROD-0005,2025-09-01,,,2024,10,UK,Europe,Enterprise,Downsell,-16326.880000000005,2025
599,4,CUST-00003,PROD-0001,2024-12-01,,,2024,1,UK,Europe,Enterprise,Downsell,-5641.139999999985,2024
601,4,CUST-00003,PROD-0001,2025-02-01,,,2024,3,UK,Europe,Enterprise,Downsell,-87.80999999999767,2025
606,5,CUST-00004,PROD-0003,2024-04-01,,,2024,3,Japan,APAC,Enterprise,Downsell,-881.3299999999872,2024
607,5,CUST-00004,PROD-0003,2024-05-01,,,2024,4,Japan,APAC,Enterprise,Downsell,-4317.139999999999,2024
608,5,CUST-00004,PROD-0003,2024-06-01,,,2024,5,Japan,APAC,Enterprise,Downsell,-1625.8800000000047,2024
610,5,CUST-00004,PROD-0003,2024-08-01,,,2024,7,Japan,APAC,Enterprise,Downsell,-7805.4100000000035,2024
612,5,CUST-00004,PROD-0003,2024-10-01,,,2024,9,Japan,APAC,Enterprise,Downsell,-7415.330000000002,2024
616,6,CUST-00005,PROD-0002,2024-05-01,,,2024,1,UK,Europe,Mid-Market,Downsell,-2896.1900000000023,2024
617,6,CUST-00005,PROD-0002,2024-06-01,,,2024,2,UK,Europe,Mid-Market,Downsell,-80.0199999999968,2024
618,6,CUST-00005,PROD-0002,2024-07-01,,,2024,3,UK,Europe,Mid-Market,Downsell,-1206.560000000005,2024
621,7,CUST-00005,PROD-0004,2024-05-01,,,2024,1,UK,Europe,Mid-Market,Downsell,-280.25,2024
622,7,CUST-00005,PROD-0004,2024-06-01,,,2024,2,UK,Europe,Mid-Market,Downsell,-4828.07,2024
626,8,CUST-00006,PROD-0005,2024-03-01,,,2024,2,USA,North America,Mid-Market,Downsell,-3584.1100000000006,2024
627,8,CUST-00006,PROD-0005,2024-04-01,,,2024,3,USA,North America,Mid-Market,Downsell,-3900.6699999999983,2024
629,8,CUST-00006,PROD-0005,2024-06-01,,,2024,5,USA,North America,Mid-Market,Downsell,-771.5899999999965,2024
633,9,CUST-00007,PROD-0002,2024-03-01,,,2024,2,Japan,APAC,Mid-Market,Downsell,-536.1900000000023,2024
635,9,CUST-00007,PROD-0002,2024-05-01,,,2024,4,Japan,APAC,Mid-Market,Downsell,-8524.799999999996,2024
637,9,CUST-00007,PROD-0002,2024-07-01,,,2024,6,Japan,APAC,Mid-Market,Downsell,-609.4000000000015,2024
641,10,CUST-00008,PROD-0004,2024-02-01,,,2024,1,Canada,North America,Enterprise,Downsell,-7220.609999999986,2024
642,10,CUST-00008,PROD-0004,2024-03-01,,,2024,2,Canada,North America,Enterprise,Downsell,-1447.7200000000012,2024
644,10,CUST-00008,PROD-0004,2024-05-01,,,2024,4,Canada,North America,Enterprise,Downsell,-24186.890000000014,2024
646,10,CUST-00008,PROD-0004,2024-07-01,,,2024,6,Canada,North America,Enterprise,Downsell,-15667.890000000014,2024
647,10,CUST-00008,PROD-0004,2024-08-01,,,2024,7,Canada,North America,Enterprise,Downsell,-25174.359999999986,2024
649,10,CUST-00008,PROD-0004,2024-10-01,,,2024,9,Canada,North America,Enterprise,Downsell,-8224.0,2024
654,11,CUST-00009,PROD-0003,2024-03-01,,,2024,2,Japan,APAC,SMB,Downsell,-1852.2700000000004,2024
655,11,CUST-00009,PROD-0003,2024-04-01,,,2024,3,Japan,APAC,SMB,Downsell,-407.9200000000001,2024
658,11,CUST-00009,PROD-0003,2024-07-01,,,2024,6,Japan,APAC,SMB,Downsell,-354.9499999999989,2024
659,11,CUST-00009,PROD-0003,2024-08-01,,,2024,7,Japan,APAC,SMB,Downsell,-1254.960000000001,2024
664,12,CUST-00010,PROD-0008,2024-11-01,,,2024,1,Germany,Europe,Mid-Market,Downsell,-718.8700000000099,2024
666,12,CUST-00010,PROD-0008,2025-01-01,,,2024,3,Germany,Europe,Mid-Market,Downsell,-13427.119999999995,2025
668,12,CUST-00010,PROD-0008,2025-03-01,,,2024,5,Germany,Europe,Mid-Market,Downsell,-1580.729999999996,2025
671,13,CUST-00010,PROD-0003,2024-11-01,,,2024,1,Germany,Europe,Mid-Market,Downsell,-4256.959999999999,2024
675,13,CUST-00010,PROD-0003,2025-03-01,,,2024,5,Germany,Europe,Mid-Market,Downsell,-2126.91,2025
676,13,CUST-00010,PROD-0003,2025-04-01,,,2024,6,Germany,Europe,Mid-Market,Downsell,-557.4199999999983,2025
678,13,CUST-00010,PROD-0003,2025-06-01,,,2024,8,Germany,Europe,Mid-Market,Downsell,-3113.3099999999977,2025
683,14,CUST-00010,PROD-0004,2024-11-01,,,2024,1,Germany,Europe,Mid-Market,Downsell,-3442.37000000001,2024
684,14,CUST-00010,PROD-0004,2024-12-01,,,2024,2,Germany,Europe,Mid-Market,Downsell,-769.1599999999889,2024
686,14,CUST-00010,PROD-0004,2025-02-01,,,2024,4,Germany,Europe,Mid-Market,Downsell,-4918.119999999995,2025
687,14,CUST-00010,PROD-0004,2025-03-01,,,2024,5,Germany,Europe,Mid-Market,Downsell,-671.8400000000111,2025
688,14,CUST-00010,PROD-0004,2025-04-01,,,2024,6,Germany,Europe,Mid-Market,Downsell,-1863.7699999999968,2025
690,14,CUST-00010,PROD-0004,2025-06-01,,,2024,8,Germany,Europe,Mid-Market,Downsell,-2604.37999999999,2025
693,15,CUST-00011,PROD-0001,2024-02-01,,,2024,1,UK,Europe,Enterprise,Downsell,-92155.21000000002,2024
697,15,CUST-00011,PROD-0001,2024-06-01,,,2024,5,UK,Europe,Enterprise,Downsell,-5232.230000000098,2024
698,15,CUST-00011,PROD-0001,2024-07-01,,,2024,6,UK,Europe,Enterprise,Downsell,-159.1699999999255,2024
699,15,CUST-00011,PROD-0001,2024-08-01,,,2024,7,UK,Europe,Enterprise,Downsell,-50903.41000000003,2024
700,15,CUST-00011,PROD-0001,2024-09-01,,,2024,8,UK,Europe,Enterprise,Downsell,-21148.570000000007,2024
702,15,CUST-00011,PROD-0001,2024-11-01,,,2024,10,UK,Europe,Enterprise,Downsell,-13002.389999999956,2024
703,15,CUST-00011,PROD-0001,2024-12-01,,,2024,11,UK,Europe,Enterprise,Downsell,-9173.440000000002,2024
707,16,CUST-00012,PROD-0005,2024-06-01,,,2024,2,UK,Europe,SMB,Downsell,-1473.67,2024
710,17,CUST-00012,PROD-0009,2024-05-01,,,2024,1,UK,Europe,SMB,Downsell,-216.4400000000005,2024
711,17,CUST-00012,PROD-0009,2024-06-01,,,2024,2,UK,Europe,SMB,Downsell,-862.5199999999995,2024
713,17,CUST-00012,PROD-0009,2024-08-01,,,2024,4,UK,Europe,SMB,Downsell,-104.51999999999953,2024
716,18,CUST-00012,PROD-0001,2024-05-01,,,2024,1,UK,Europe,SMB,Downsell,-435.8900000000003,2024
719,18,CUST-00012,PROD-0001,2024-08-01,,,2024,4,UK,Europe,SMB,Downsell,-69.73000000000047,2024
720,18,CUST-00012,PROD-0001,2024-09-01,,,2024,5,UK,Europe,SMB,Downsell,-887.4300000000003,2024
722,18,CUST-00012,PROD-0001,2024-11-01,,,2024,7,UK,Europe,SMB,Downsell,-172.92999999999938,2024
725,19,CUST-00013,PROD-0007,2024-10-01,,,2024,1,Canada,North America,Enterprise,Downsell,-36974.669999999984,2024
726,19,CUST-00013,PROD-0007,2024-11-01,,,2024,2,Canada,North America,Enterprise,Downsell,-1757.4500000000116,2024
729,20,CUST-00013,PROD-0009,2024-10-01,,,2024,1,Canada,North America,Enterprise,Downsell,-5098.070000000007,2024
730,20,CUST-00013,PROD-0009,2024-11-01,,,2024,2,Canada,North America,Enterprise,Downsell,-10876.509999999995,2024
733,21,CUST-00014,PROD-0006,2024-07-01,,,2024,1,UK,Europe,Startup,Downsell,-437.27999999999975,2024
737,21,CUST-00014,PROD-0006,2024-11-01,,,2024,5,UK,Europe,Startup,Downsell,-313.1899999999996,2024
740,22,CUST-00014,PROD-0001,2024-07-01,,,2024,1,UK,Europe,Startup,Downsell,-288.3099999999995,2024
742,22,CUST-00014,PROD-0001,2024-09-01,,,2024,3,UK,Europe,Startup,Downsell,-1492.8899999999994,2024
744,22,CUST-00014,PROD-0001,2024-11-01,,,2024,5,UK,Europe,Startup,Downsell,-704.7300000000014,2024
747,23,CUST-00015,PROD-0005,2024-04-01,,,2024,1,Canada,North America,SMB,Downsell,-945.2599999999993,2024
748,23,CUST-00015,PROD-0005,2024-05-01,,,2024,2,Canada,North America,SMB,Downsell,-339.52999999999975,2024
753,23,CUST-00015,PROD-0005,2024-10-01,,,2024,7,Canada,North America,SMB,Downsell,-1145.0699999999997,2024
757,24,CUST-00015,PROD-0004,2024-05-01,,,2024,2,Canada,North America,SMB,Downsell,-552.0499999999993,2024
762,25,CUST-00016,PROD-0006,2024-03-01,,,2024,2,France,Europe,Enterprise,Downsell,-14290.109999999986,2024
763,25,CUST-00016,PROD-0006,2024-04-01,,,2024,3,France,Europe,Enterprise,Downsell,-696.640000000014,2024
765,25,CUST-00016,PROD-0006,2024-06-01,,,2024,5,France,Europe,Enterprise,Downsell,-5487.0,2024
768,26,CUST-00016,PROD-0007,2024-02-01,,,2024,1,France,Europe,Enterprise,Downsell,-20374.459999999992,2024
770,26,CUST-00016,PROD-0007,2024-04-01,,,2024,3,France,Europe,Enterprise,Downsell,-4655.0,2024
771,26,CUST-00016,PROD-0007,2024-05-01,,,2024,4,France,Europe,Enterprise,Downsell,-6199.140000000014,2024
773,26,CUST-00016,PROD-0007,2024-07-01,,,2024,6,France,Europe,Enterprise,Downsell,-15807.059999999998,2024
775,26,CUST-00016,PROD-0007,2024-09-01,,,2024,8,France,Europe,Enterprise,Downsell,-34725.91,2024
777,26,CUST-00016,PROD-0007,2024-11-01,,,2024,10,France,Europe,Enterprise,Downsell,-19011.899999999994,2024
783,27,CUST-00016,PROD-0009,2024-04-01,,,2024,3,France,Europe,Enterprise,Downsell,-84068.20999999996,2024
784,27,CUST-00016,PROD-0009,2024-05-01,,,2024,4,France,Europe,Enterprise,Downsell,-403602.9,2024
787,28,CUST-00017,PROD-0005,2025-01-01,,,2024,2,France,Europe,SMB,Downsell,-297.0499999999993,2025
790,29,CUST-00017,PROD-0009,2024-12-01,,,2024,1,France,Europe,SMB,Downsell,-252.14000000000124,2024
791,29,CUST-00017,PROD-0009,2025-01-01,,,2024,2,France,Europe,SMB,Downsell,-640.1799999999985,2025
793,29,CUST-00017,PROD-0009,2025-03-01,,,2024,4,France,Europe,SMB,Downsell,-504.60000000000036,2025
795,29,CUST-00017,PROD-0009,2025-05-01,,,2024,6,France,Europe,SMB,Downsell,-1013.6900000000005,2025
797,29,CUST-00017,PROD-0009,2025-07-01,,,2024,8,France,Europe,SMB,Downsell,-287.8600000000006,2025
800,30,CUST-00018,PROD-0010,2024-09-01,,,2024,1,France,Europe,Enterprise,Downsell,-2702.639999999985,2024
801,30,CUST-00018,PROD-0010,2024-10-01,,,2024,2,France,Europe,Enterprise,Downsell,-3146.779999999999,2024
802,30,CUST-00018,PROD-0010,2024-11-01,,,2024,3,France,Europe,Enterprise,Downsell,-18001.02000000002,2024
803,30,CUST-00018,PROD-0010,2024-12-01,,,2024,4,France,Europe,Enterprise,Downsell,-1024.6900000000023,2024
804,30,CUST-00018,PROD-0010,2025-01-01,,,2024,5,France,Europe,Enterprise,Downsell,-7017.3399999999965,2025
808,30,CUST-00018,PROD-0010,2025-05-01,,,2024,9,France,Europe,Enterprise,Downsell,-31206.079999999987,2025
814,31,CUST-00018,PROD-0008,2024-10-01,,,2024,2,France,Europe,Enterprise,Downsell,-12538.01000000001,2024
815,31,CUST-00018,PROD-0008,2024-11-01,,,2024,3,France,Europe,Enterprise,Downsell,-4318.639999999956,2024
816,31,CUST-00018,PROD-0008,2024-12-01,,,2024,4,France,Europe,Enterprise,Downsell,-21005.73000000004,2024
820,32,CUST-00019,PROD-0007,2024-02-01,,,2024,1,Canada,North America,Startup,Downsell,-366.6100000000001,2024
823,32,CUST-00019,PROD-0007,2024-05-01,,,2024,4,Canada,North America,Startup,Downsell,-373.9000000000001,2024
825,32,CUST-00019,PROD-0007,2024-07-01,,,2024,6,Canada,North America,Startup,Downsell,-140.48000000000002,2024
827,32,CUST-00019,PROD-0007,2024-09-01,,,2024,8,Canada,North America,Startup,Downsell,-247.98000000000002,2024
830,33,CUST-00020,PROD-0009,2024-02-01,,,2024,1,Germany,Europe,SMB,Downsell,-320.02000000000044,2024
832,33,CUST-00020,PROD-0009,2024-04-01,,,2024,3,Germany,Europe,SMB,Downsell,-938.3299999999999,2024
862,2,CUST-00003,PROD-0002,2025-10-01,,,2024,11,UK,Europe,Enterprise,Downgrade,-425766.78,2025
880,4,CUST-00003,PROD-0001,2025-03-01,,,2024,4,UK,Europe,Enterprise,Downgrade,-190074.73,2025
901,7,CUST-00005,PROD-0004,2024-07-01,,,2024,3,UK,Europe,Mid-Market,Downgrade,-27978.0,2024
947,12,CUST-00010,PROD-0008,2025-04-01,,,2024,6,Germany,Europe,Mid-Market,Downgrade,-97239.25,2025
969,14,CUST-00010,PROD-0004,2025-07-01,,,2024,9,Germany,Europe,Mid-Market,Downgrade,-68571.88,2025
986,16,CUST-00012,PROD-0005,2024-07-01,,,2024,3,UK,Europe,SMB,Downgrade,-8395.84,2024
992,17,CUST-00012,PROD-0009,2024-09-01,,,2024,5,UK,Europe,SMB,Downgrade,-6921.97,2024
1037,24,CUST-00015,PROD-0004,2024-07-01,,,2024,4,Canada,North America,SMB,Downgrade,-11033.05,2024
1044,25,CUST-00016,PROD-0006,2024-07-01,,,2024,6,France,Europe,Enterprise,Downgrade,-223300.73,2024
1066,28,CUST-00017,PROD-0005,2025-02-01,,,2024,3,France,Europe,SMB,Downgrade,-8469.91,2025
1096,31,CUST-00018,PROD-0008,2025-02-01,,,2024,6,France,Europe,Enterprise,Downgrade,-289205.04,2025
1113,0,CUST-00001,PROD-0008,2024-02-01,,,2024,1,UK,Europe,Enterprise,Upsell,13837.550000000003,2024
1115,0,CUST-00001,PROD-0008,2024-04-01,,,2024,3,UK,Europe,Enterprise,Upsell,4755.390000000014,2024
1117,0,CUST-00001,PROD-0008,2024-06-01,,,2024,5,UK,Europe,Enterprise,Upsell,3545.329999999987,2024
1119,0,CUST-00001,PROD-0008,2024-08-01,,,2024,7,UK,Europe,Enterprise,Upsell,14522.64,2024
1121,0,CUST-00001,PROD-0008,2024-10-01,,,2024,9,UK,Europe,Enterprise,Upsell,8118.960000000006,2024
1125,1,CUST-00002,PROD-0002,2024-03-01,,,2024,2,France,Europe,Mid-Market,Upsell,5171.350000000006,2024
1126,1,CUST-00002,PROD-0002,2024-04-01,,,2024,3,France,Europe,Mid-Market,Upsell,9990.220000000001,2024
1131,2,CUST-00003,PROD-0002,2025-01-01,,,2024,2,UK,Europe,Enterprise,Upsell,40772.56,2025
1132,2,CUST-00003,PROD-0002,2025-02-01,,,2024,3,UK,Europe,Enterprise,Upsell,17001.54999999999,2025
1135,2,CUST-00003,PROD-0002,2025-05-01,,,2024,6,UK,Europe,Enterprise,Upsell,13751.119999999995,2025
1137,2,CUST-00003,PROD-0002,2025-07-01,,,2024,8,UK,Europe,Enterprise,Upsell,62228.80000000005,2025
1142,3,CUST-00003,PROD-0005,2024-12-01,,,2024,1,UK,Europe,Enterprise,Upsell,35633.56,2024
1147,3,CUST-00003,PROD-0005,2025-05-01,,,2024,6,UK,Europe,Enterprise,Upsell,32126.02000000002,2025
1148,3,CUST-00003,PROD-0005,2025-06-01,,,2024,7,UK,Europe,Enterprise,Upsell,2700.649999999994,2025
1150,3,CUST-00003,PROD-0005,2025-08-01,,,2024,9,UK,Europe,Enterprise,Upsell,15682.820000000007,2025
1152,3,CUST-00003,PROD-0005,2025-10-01,,,2024,11,UK,Europe,Enterprise,Upsell,27084.53,2025
1156,4,CUST-00003,PROD-0001,2025-01-01,,,2024,2,UK,Europe,Enterprise,Upsell,26176.809999999998,2025
1160,5,CUST-00004,PROD-0003,2024-02-01,,,2024,1,Japan,APAC,Enterprise,Upsell,1962.070000000007,2024
1161,5,CUST-00004,PROD-0003,2024-03-01,,,2024,2,Japan,APAC,Enterprise,Upsell,8894.64999999998,2024
1165,5,CUST-00004,PROD-0003,2024-07-01,,,2024,6,Japan,APAC,Enterprise,Upsell,573.8400000000111,2024
1167,5,CUST-00004,PROD-0003,2024-09-01,,,2024,8,Japan,APAC,Enterprise,Upsell,6779.569999999992,2024
1169,5,CUST-00004,PROD-0003,2024-11-01,,,2024,10,Japan,APAC,Enterprise,Upsell,13081.929999999993,2024
1181,8,CUST-00006,PROD-0005,2024-02-01,,,2024,1,USA,North America,Mid-Market,Upsell,1861.6399999999994,2024
1184,8,CUST-00006,PROD-0005,2024-05-01,,,2024,4,USA,North America,Mid-Market,Upsell,2692.1399999999994,2024
1188,9,CUST-00007,PROD-0002,2024-02-01,,,2024,1,Japan,APAC,Mid-Market,Upsell,2522.090000000004,2024
1190,9,CUST-00007,PROD-0002,2024-04-01,,,2024,3,Japan,APAC,Mid-Market,Upsell,2991.269999999997,2024
1192,9,CUST-00007,PROD-0002,2024-06-01,,,2024,5,Japan,APAC,Mid-Market,Upsell,2927.779999999999,2024
1194,9,CUST-00007,PROD-0002,2024-08-01,,,2024,7,Japan,APAC,Mid-Market,Upsell,5027.5,2024
1199,10,CUST-00008,PROD-0004,2024-04-01,,,2024,3,Canada,North America,Enterprise,Upsell,33925.649999999994,2024
1201,10,CUST-00008,PROD-0004,2024-06-01,,,2024,5,Canada,North America,Enterprise,Upsell,21067.840000000026,2024
1204,10,CUST-00008,PROD-0004,2024-09-01,,,2024,8,Canada,North America,Enterprise,Upsell,47790.669999999984,2024
1206,10,CUST-00008,PROD-0004,2024-11-01,,,2024,10,Canada,North America,Enterprise,Upsell,6698.330000000016,2024
1209,11,CUST-00009,PROD-0003,2024-02-01,,,2024,1,Japan,APAC,SMB,Upsell,94.88000000000102,2024
1212,11,CUST-00009,PROD-0003,2024-05-01,,,2024,4,Japan,APAC,SMB,Upsell,974.75,2024
1213,11,CUST-00009,PROD-0003,2024-06-01,,,2024,5,Japan,APAC,SMB,Upsell,1345.8799999999992,2024
1216,11,CUST-00009,PROD-0003,2024-09-01,,,2024,8,Japan,APAC,SMB,Upsell,1032.6800000000003,2024
1217,11,CUST-00009,PROD-0003,2024-10-01,,,2024,9,Japan,APAC,SMB,Upsell,85.14000000000124,2024
1221,12,CUST-00010,PROD-0008,2024-12-01,,,2024,2,Germany,Europe,Mid-Market,Upsell,3999.7100000000064,2024
1223,12,CUST-00010,PROD-0008,2025-02-01,,,2024,4,Germany,Europe,Mid-Market,Upsell,10243.409999999989,2025
1228,13,CUST-00010,PROD-0003,2024-12-01,,,2024,2,Germany,Europe,Mid-Market,Upsell,511.0,2024
1229,13,CUST-00010,PROD-0003,2025-01-01,,,2024,3,Germany,Europe,Mid-Market,Upsell,1978.0400000000009,2025
1230,13,CUST-00010,PROD-0003,2025-02-01,,,2024,4,Germany,Europe,Mid-Market,Upsell,387.5599999999977,2025
1233,13,CUST-00010,PROD-0003,2025-05-01,,,2024,7,Germany,Europe,Mid-Market,Upsell,3723.949999999997,2025
1235,13,CUST-00010,PROD-0003,2025-07-01,,,2024,9,Germany,Europe,Mid-Market,Upsell,1683.630000000001,2025
1236,13,CUST-00010,PROD-0003,2025-08-01,,,2024,10,Germany,Europe,Mid-Market,Upsell,120.17999999999665,2025
1241,14,CUST-00010,PROD-0004,2025-01-01,,,2024,3,Germany,Europe,Mid-Market,Upsell,5657.039999999994,2025
1245,14,CUST-00010,PROD-0004,2025-05-01,,,2024,7,Germany,Europe,Mid-Market,Upsell,7118.629999999997,2025
1250,15,CUST-00011,PROD-0001,2024-03-01,,,2024,2,UK,Europe,Enterprise,Upsell,13969.900000000023,2024
1251,15,CUST-00011,PROD-0001,2024-04-01,,,2024,3,UK,Europe,Enterprise,Upsell,5197.369999999995,2024
1252,15,CUST-00011,PROD-0001,2024-05-01,,,2024,4,UK,Europe,Enterprise,Upsell,66712.97000000003,2024
1257,15,CUST-00011,PROD-0001,2024-10-01,,,2024,9,UK,Europe,Enterprise,Upsell,67505.77999999997,2024
1262,16,CUST-00012,PROD-0005,2024-05-01,,,2024,1,UK,Europe,SMB,Upsell,1529.0699999999997,2024
1268,17,CUST-00012,PROD-0009,2024-07-01,,,2024,3,UK,Europe,SMB,Upsell,185.60999999999967,2024
1273,18,CUST-00012,PROD-0001,2024-06-01,,,2024,2,UK,Europe,SMB,Upsell,264.35000000000036,2024
1274,18,CUST-00012,PROD-0001,2024-07-01,,,2024,3,UK,Europe,SMB,Upsell,490.6900000000005,2024
1277,18,CUST-00012,PROD-0001,2024-10-01,,,2024,6,UK,Europe,SMB,Upsell,390.0,2024
1290,21,CUST-00014,PROD-0006,2024-08-01,,,2024,2,UK,Europe,Startup,Upsell,287.84999999999945,2024
1291,21,CUST-00014,PROD-0006,2024-09-01,,,2024,3,UK,Europe,Startup,Upsell,439.4800000000005,2024
1292,21,CUST-00014,PROD-0006,2024-10-01,,,2024,4,UK,Europe,Startup,Upsell,138.3699999999999,2024
1297,22,CUST-00014,PROD-0001,2024-08-01,,,2024,2,UK,Europe,Startup,Upsell,123.11999999999898,2024
1299,22,CUST-00014,PROD-0001,2024-10-01,,,2024,4,UK,Europe,Startup,Upsell,1240.4500000000007,2024
1305,23,CUST-00015,PROD-0005,2024-06-01,,,2024,3,Canada,North America,SMB,Upsell,282.14999999999964,2024
1306,23,CUST-00015,PROD-0005,2024-07-01,,,2024,4,Canada,North America,SMB,Upsell,224.97999999999956,2024
